Date,Open,High,Low,Close,Volume
2020-01-01,100.49671415301123,100.77324275535359,99.20133707680984,99.44658366367997,4097042
2020-01-02,100.969613520088,101.15885552388394,99.11195732002014,99.79502487677449,2239911
2020-01-03,99.21414674275097,100.26448635710726,98.07138641124268,99.22222971304743,2307371
2020-01-04,98.29814687530032,98.34259052852428,97.44256104809362,97.80244771071101,4295231
2020-01-05,96.8944236351898,99.71903103786038,93.96312609734669,95.11242940656304,3416182
2020-01-06,94.88665310607651,94.93556346106465,94.17555047183164,94.82911635091756,3663046
2020-01-07,94.22886250081164,96.12374214290492,93.64679449828728,94.73702918092816,3669995
2020-01-08,94.10146944065352,95.1687670483385,94.09041371601326,95.07098240174624,3557489
2020-01-09,93.8058632878236,95.98984781653894,88.24923720471872,89.68012356480186,4584702
2020-01-10,90.87376328908418,91.2263346129357,88.47197774518513,89.56036251151,4769315
2020-01-11,90.2988290915054,90.64156565388534,90.06753252672891,90.29064616678404,4613009
2020-01-12,89.98954247119475,94.67103513940084,87.84757209716001,94.43395601260367,3529467
2020-01-13,93.3034037079221,93.57226147317814,92.13915811849603,93.18390073660288,4275040
2020-01-14,94.07164919619623,95.46852971461816,93.72444506886663,94.85997851224614,4853339
2020-01-15,95.19124194364971,97.14233219789443,94.23289346795913,95.13767747908388,4793700
2020-01-16,94.95201850242006,96.57707014720846,92.23953844527841,96.08785184255953,3298816
2020-01-17,96.41469706652954,96.57693497484692,95.47910756000324,95.73817827439333,1897421
2020-01-18,96.4743006250626,103.21889313231594,94.63351901492784,98.30411860806508,1122409
2020-01-19,96.92340158379282,97.48501416684633,96.80376705646948,97.18749691222426,1874371
2020-01-20,98.14867067864262,98.58801445431764,97.43444553561912,97.90785052039767,3870442
2020-01-21,99.53077101973905,101.17823717368933,98.9446525284479,99.60497538975115,1109556
2020-01-22,100.50160577346209,101.01583951357465,99.87257998173574,100.08587797991295,3009021
2020-01-23,101.45774011346273,101.8088467013724,100.83916302057358,100.94587857582857,2701240
2020-01-24,101.61900407860254,104.31778402506856,99.58085850786641,100.3608210201759,4806618
2020-01-25,98.94545027812549,99.78674092365621,98.26002124507195,99.69958004516326,1061087
2020-01-26,98.89730277594164,102.6696745783627,98.54814715027796,100.04685653014776,1439792
2020-01-27,99.20083951369206,100.84581825125218,97.02738546761351,97.59284545577597,3878391
2020-01-28,98.5978323364786,98.80252770157794,97.73261377538257,98.27043706274142,3995765
2020-01-29,98.19034972738893,98.67310999067736,95.32331875280909,97.10183876788608,3222809
2020-01-30,98.16763247643539,100.45327810546543,96.66376641106184,97.56429666305038,3908926
2020-01-31,97.42700565937112,100.22964878875837,97.33620034879745,99.69850387869845,3119823
2020-02-01,99.91544060486079,100.90230556926744,98.06911538817688,98.59755780043339,4161436
2020-02-02,98.18110143688202,99.89610794005824,96.7448448772326,99.29579562325141,1142483
2020-02-03,98.34432387260337,100.46893130005557,97.39713901133301,99.51955622722357,1071295
2020-02-04,100.76849692636348,100.89979524258594,98.43008163245824,98.94642865968562,2856926
2020-02-05,99.81974562877505,100.53323568031144,98.70750203170712,99.91245711209375,4504473
2020-02-06,99.9254910118603,100.68103019580649,99.79984181239394,100.57761070479012,1990198
2020-02-07,101.07920707013629,103.55310849189246,98.43829384396774,102.15142258399737,3688130
2020-02-08,101.86593328301105,103.99651822070294,100.15793771002124,101.58697508220781,3921944
2020-02-09,103.37556893953328,103.72523496351623,100.94185915481481,102.86766351022933,3551503
2020-02-10,102.86280656557831,103.62945317811011,101.9377528451748,103.19666636679023,2017026
2020-02-11,102.08416901246078,103.72828933244976,98.29058304715288,98.79995892094543,3269042
2020-02-12,97.48138876018731,98.92216324426371,96.84960694588268,97.85840746068635,4544839
